"ID","description","address","city","proxy_site","lat","lon","NO2.b0","NO2.b1","NO2.b2","NO2.b0_kl","NO2.b1_kl","NO2.b2_kl","start_date","end_date"
"AQY BB-788","Residence","2334 Andrade Ave","Richmond","San Pablo - Rumrill",37.94755,-122.346511,-12.1409276580731,0.965627407017523,0.965627407017523,1.40220673788243,0.157596226261365,0.160632551819134,"2020-07-05","9999-12-31"
"AQY BB-793","Residence","5626 Bayview Avenue","Richmond","San Leandro",37.915453,-122.315955,0,1,1,0,1,1,"2020-03-13","9999-12-31"
"AQY BB-794","Residence","968 36th St","Richmond","Vallejo",37.946713,-122.332639,0,1,1,0,1,1,"2020-03-19","2020-07-04"
"AQY BB-794","Residence","968 36th St","Richmond","Vallejo",37.946713,-122.332639,-0.856166373321773,0.743134806473567,0.743134806473567,4.00495426620633,0.118317058916691,0.194424873305714,"2020-07-05","9999-12-31"
"AQY BB-795","Residence","4613 Wildwood Court","Richmond","San Ramon",37.975904,-122.284784,0,1,1,0,1,1,"2020-03-06","2020-07-04"
"AQY BB-795","Residence","4613 Wildwood Court","Richmond","San Ramon",37.975904,-122.284784,1.07190569746847,0.248394101965795,0.248394101965795,4.80176684552819,0.091652629612083,0.21041510514967,"2020-07-05","9999-12-31"
"AQY BB-798","Urban Farm","323 Brookside Dr","Richmond","San Pablo - Rumrill",37.965249,-122.366437,0,1,1,0,1,1,"2020-03-12","9999-12-31"
"AQY BB-801","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo - Rumrill",37.971666,-122.33952,0,1,1,0,1,1,"2020-05-11","2020-07-04"
"AQY BB-801","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo - Rumrill",37.971666,-122.33952,5.43123609191547,0.606382035653721,0.606382035653721,3.47158774862349,0.0898761958911581,0.0604635423000109,"2020-07-05","9999-12-31"
"AQY BB-803","Residence","988 St. Andrews Dr.","El Sobrante","Livermore - Rincon",37.985959,-122.303358,0,1,1,0,1,1,"2020-03-19","9999-12-31"
"AQY BB-805","Brickyard Landing, HOA","Brickyard Landing","Richmond","San Pablo - Rumrill",37.912533,-122.379561,0,1,1,0,1,1,"2020-03-05","2020-07-07"
"AQY BB-805","Brickyard Landing, HOA","Brickyard Landing","Richmond","San Pablo - Rumrill",37.912533,-122.379561,0.285234564169842,0.676534641465696,0.676534641465696,2.24279253298059,0.170387751499592,0.134327689840432,"2020-07-08","9999-12-31"
"AQY BB-806","Fire Station","1065 7th St","Richmond","San Pablo - Rumrill",37.948007,-122.364858,0,1,1,0,1,1,"2020-05-12","2020-07-04"
"AQY BB-806","Fire Station","1065 7th St","Richmond","San Pablo - Rumrill",37.948007,-122.364858,-6.79463910708711,0.639037651571015,0.639037651571015,3.38463018850557,-0.010734071617928,-0.0444105485100252,"2020-07-05","9999-12-31"
"AQY BB-808","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo - Rumrill",37.969085,-122.335865,0,1,1,0,1,1,"2020-05-11","2020-07-04"
"AQY BB-808","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo - Rumrill",37.969085,-122.335865,-0.170454210498409,0.540522634360825,0.540522634360825,3.15630035501863,0.0390884828515271,0.0181143565026779,"2020-07-05","9999-12-31"
"AQY BB-809","Residence","5013 Barrett Ave","Richmond","San Leandro",37.935882,-122.323812,0,1,1,0,1,1,"2020-03-03","9999-12-31"
