"","lat","lon","modality","units","O3_cal","O3","reg_site","timestamp"
"57",37.9722,-122.5189,"OZONE","PPB",17,20.7,"San Rafael",2020-06-30 16:00:00
"58",37.7658,-122.3978,"OZONE","PPB",19,17.8,"San Francisco",2020-06-30 16:00:00
"59",37.9604,-122.3571,"OZONE","PPB",17,15,"San Pablo",2020-06-30 16:00:00
"60",37.864767,-122.302741,"OZONE","PPB",11,10.5,"Berkeley",2020-06-30 16:00:00
"61",37.8148,-122.282402,"OZONE","PPB",14,9.6,"Oakland",2020-06-30 16:00:00
"62",38.102507,-122.237976,"OZONE","PPB",20,19.7,"Vallejo",2020-06-30 16:00:00
"63",37.743061,-122.169907,"OZONE","PPB",15,17,"San Leandro",2020-06-30 16:00:00
"64",37.9383,-122.025,"OZONE","PPB",25,31.9,"Concord",2020-06-30 16:00:00
"65",37.9722,-122.5189,"OZONE","PPB",16,15.9,"San Rafael",2020-06-30 15:00:00
"66",37.7658,-122.3978,"OZONE","PPB",18,16.8,"San Francisco",2020-06-30 15:00:00
"67",37.9604,-122.3571,"OZONE","PPB",16,13.9,"San Pablo",2020-06-30 15:00:00
"68",37.864767,-122.302741,"OZONE","PPB",11,7.7,"Berkeley",2020-06-30 15:00:00
"69",37.8148,-122.282402,"OZONE","PPB",12,9.3,"Oakland",2020-06-30 15:00:00
"70",38.102507,-122.237976,"OZONE","PPB",18,16.3,"Vallejo",2020-06-30 15:00:00
"71",37.743061,-122.169907,"OZONE","PPB",14,14.1,"San Leandro",2020-06-30 15:00:00
"72",37.9383,-122.025,"OZONE","PPB",21,22.2,"Concord",2020-06-30 15:00:00
"73",37.9722,-122.5189,"OZONE","PPB",14,11,"San Rafael",2020-06-30 14:00:00
"74",37.7658,-122.3978,"OZONE","PPB",17,14.7,"San Francisco",2020-06-30 14:00:00
"75",37.9604,-122.3571,"OZONE","PPB",14,14.4,"San Pablo",2020-06-30 14:00:00
"76",37.864767,-122.302741,"OZONE","PPB",10,7.7,"Berkeley",2020-06-30 14:00:00
"77",37.8148,-122.282402,"OZONE","PPB",10,12.5,"Oakland",2020-06-30 14:00:00
"78",38.102507,-122.237976,"OZONE","PPB",17,17,"Vallejo",2020-06-30 14:00:00
"79",37.743061,-122.169907,"OZONE","PPB",11,10.6,"San Leandro",2020-06-30 14:00:00
"80",37.9383,-122.025,"OZONE","PPB",19,15,"Concord",2020-06-30 14:00:00
"81",37.9722,-122.5189,"OZONE","PPB",14,10.1,"San Rafael",2020-06-30 13:00:00
"82",37.7658,-122.3978,"OZONE","PPB",17,16.4,"San Francisco",2020-06-30 13:00:00
"83",37.9604,-122.3571,"OZONE","PPB",14,13.6,"San Pablo",2020-06-30 13:00:00
"84",37.864767,-122.302741,"OZONE","PPB",10,6.2,"Berkeley",2020-06-30 13:00:00
"85",37.8148,-122.282402,"OZONE","PPB",11,11.7,"Oakland",2020-06-30 13:00:00
"86",38.102507,-122.237976,"OZONE","PPB",15,16.1,"Vallejo",2020-06-30 13:00:00
"87",37.743061,-122.169907,"OZONE","PPB",9,3.7,"San Leandro",2020-06-30 13:00:00
"88",37.9383,-122.025,"OZONE","PPB",17,7.4,"Concord",2020-06-30 13:00:00
"89",37.9722,-122.5189,"OZONE","PPB",14,9.1,"San Rafael",2020-06-30 12:00:00
"90",37.7658,-122.3978,"OZONE","PPB",18,16.5,"San Francisco",2020-06-30 12:00:00
"91",37.9604,-122.3571,"OZONE","PPB",15,14.2,"San Pablo",2020-06-30 12:00:00
"92",37.864767,-122.302741,"OZONE","PPB",11,9.4,"Berkeley",2020-06-30 12:00:00
"93",37.8148,-122.282402,"OZONE","PPB",11,11,"Oakland",2020-06-30 12:00:00
"94",38.102507,-122.237976,"OZONE","PPB",14,16.7,"Vallejo",2020-06-30 12:00:00
"95",37.743061,-122.169907,"OZONE","PPB",8,5.3,"San Leandro",2020-06-30 12:00:00
"96",37.9383,-122.025,"OZONE","PPB",15,10.9,"Concord",2020-06-30 12:00:00
"97",37.9722,-122.5189,"OZONE","PPB",14,14,"San Rafael",2020-06-30 11:00:00
"98",37.7658,-122.3978,"OZONE","PPB",18,18,"San Francisco",2020-06-30 11:00:00
"99",37.9604,-122.3571,"OZONE","PPB",15,17,"San Pablo",2020-06-30 11:00:00
"100",37.864767,-122.302741,"OZONE","PPB",12,13.9,"Berkeley",2020-06-30 11:00:00
"101",37.8148,-122.282402,"OZONE","PPB",12,12,"Oakland",2020-06-30 11:00:00
"102",38.102507,-122.237976,"OZONE","PPB",14,14,"Vallejo",2020-06-30 11:00:00
"103",37.743061,-122.169907,"OZONE","PPB",7,7,"San Leandro",2020-06-30 11:00:00
"104",37.9383,-122.025,"OZONE","PPB",15,10.4,"Concord",2020-06-30 11:00:00
"105",37.9722,-122.5189,"OZONE","PPB",16,14.6,"San Rafael",2020-06-30 10:00:00
"106",37.7658,-122.3978,"OZONE","PPB",20,21.7,"San Francisco",2020-06-30 10:00:00
"107",37.9604,-122.3571,"OZONE","PPB",16,16,"San Pablo",2020-06-30 10:00:00
"108",37.864767,-122.302741,"OZONE","PPB",13,13,"Berkeley",2020-06-30 10:00:00
"109",37.8148,-122.282402,"OZONE","PPB",12,12.2,"Oakland",2020-06-30 10:00:00
"110",38.102507,-122.237976,"OZONE","PPB",14,13.6,"Vallejo",2020-06-30 10:00:00
"111",37.743061,-122.169907,"OZONE","PPB",8,8.6,"San Leandro",2020-06-30 10:00:00
"112",37.9383,-122.025,"OZONE","PPB",16,16,"Concord",2020-06-30 10:00:00
"113",37.9722,-122.5189,"OZONE","PPB",17,17.8,"San Rafael",2020-06-30 09:00:00
"114",37.7658,-122.3978,"OZONE","PPB",21,21.6,"San Francisco",2020-06-30 09:00:00
"115",37.9604,-122.3571,"OZONE","PPB",17,16.8,"San Pablo",2020-06-30 09:00:00
"116",37.864767,-122.302741,"OZONE","PPB",14,18,"Berkeley",2020-06-30 09:00:00
"117",37.8148,-122.282402,"OZONE","PPB",13,15.3,"Oakland",2020-06-30 09:00:00
"118",38.102507,-122.237976,"OZONE","PPB",13,10.5,"Vallejo",2020-06-30 09:00:00
"119",37.743061,-122.169907,"OZONE","PPB",8,6.3,"San Leandro",2020-06-30 09:00:00
