"ID","TIME","TIMESTAMP","LATITUDE","LONGITUDE","DEPLOYMENT.DATE","DEPLOYMENT.DATETIME","O3.GAIN.PSE","O3.OFFSET.PSE","O3.GAIN.AQ","O3.OFFSET.AQ","O3.PROXY","O3.RAW","O3.PSE","O3.AQ","NO2.RAW","NO2.AQ"
"AQY BB-633","2020-07-06 19:00:00",2020-07-06 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31,34.07,32.23,32.83,1.89,3.6
"AQY BB-642","2020-07-06 19:00:00",2020-07-06 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31,28.79,29.82,29.94,7.98,4.01
"AQY BB-633","2020-07-06 20:00:00",2020-07-06 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,30.8,33.89,31.87,32.46,1.24,3.36
"AQY BB-642","2020-07-06 20:00:00",2020-07-06 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,30.8,28.84,29.95,30.06,7.9,3.94
"AQY BB-633","2020-07-06 21:00:00",2020-07-06 21:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,30,33.6,31.28,31.87,0.08,2.93
"AQY BB-642","2020-07-06 21:00:00",2020-07-06 21:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,30,28.54,29.19,29.33,7.63,4.03
"AQY BB-633","2020-07-06 22:00:00",2020-07-06 22:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31,33.88,31.85,32.44,1.46,3.48
"AQY BB-642","2020-07-06 22:00:00",2020-07-06 22:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31,28.8,29.85,29.96,10.18,5.05
"AQY BB-633","2020-07-06 23:00:00",2020-07-06 23:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31.1,34.19,32.47,33.07,-0.76,2.16
"AQY BB-642","2020-07-06 23:00:00",2020-07-06 23:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31.1,29.45,31.5,31.55,8.66,3.85
"AQY BB-633","2020-07-07 00:00:00",2020-07-07 00:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,33,35.08,34.26,34.88,-2.94,0.53
"AQY BB-642","2020-07-07 00:00:00",2020-07-07 00:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,33,30.4,33.92,33.86,6.58,2.16
"AQY BB-633","2020-07-07 01:00:00",2020-07-07 01:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31.6,33.91,31.91,32.5,-5.22,0.04
"AQY BB-642","2020-07-07 01:00:00",2020-07-07 01:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31.6,29.45,31.5,31.55,3.66,1.48
"AQY BB-633","2020-07-07 02:00:00",2020-07-07 02:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,30,33.8,31.68,32.28,-7.08,-0.85
"AQY BB-642","2020-07-07 02:00:00",2020-07-07 02:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,30,30.01,32.93,32.91,1.81,0.18
"AQY BB-633","2020-07-07 03:00:00",2020-07-07 03:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,26.5,31.75,27.56,28.12,-7.79,-0.04
"AQY BB-642","2020-07-07 03:00:00",2020-07-07 03:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,26.5,28.36,28.73,28.89,0.7,0.88
"AQY BB-633","2020-07-07 04:00:00",2020-07-07 04:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,27,31.88,27.82,28.38,-8.42,-0.44
"AQY BB-642","2020-07-07 04:00:00",2020-07-07 04:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,27,28.28,28.53,28.7,0.02,0.61
"AQY BB-633","2020-07-07 05:00:00",2020-07-07 05:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,25.9,31.6,27.25,27.81,-8.55,-0.34
"AQY BB-642","2020-07-07 05:00:00",2020-07-07 05:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,25.9,28.16,28.22,28.4,-0.67,0.37
"AQY BB-633","2020-07-07 06:00:00",2020-07-07 06:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,27,32.14,28.34,28.91,-8.49,-0.62
"AQY BB-642","2020-07-07 06:00:00",2020-07-07 06:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,27,28.44,28.93,29.09,-0.79,0.11
"AQY BB-633","2020-07-07 07:00:00",2020-07-07 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.2,32.84,29.75,30.33,-8.48,-1.02
