"ID","deployment_date","deployment_datetime","NO2_proxy_site","Longitude","Latitude","start_date","end_date","NO2.offset","NO2.gain.Ox","NO2.gain.O3"
"AQY BB-801","2020-05-11","2020-05-11 11:00:00","San Pablo - Rumrill",-122.33952,37.971666,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-802","2020-08-13","2020-08-13 12:00:00","Livermore - Rincon",-122.303358,37.985959,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-804","2020-09-17","2020-09-17 11:50:00","Vallejo",-122.337568,37.933887,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-805","2020-03-05","2020-03-05 14:30:00","San Pablo - Rumrill",-122.379561,37.912533,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-806","2020-05-12","2020-05-12 11:00:00","Vallejo",-122.364858,37.948007,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-807","2020-08-14","2020-08-14 10:00:00","San Pablo - Rumrill",-122.352474,37.952281,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-808","2020-05-11","2020-05-11 10:45:00","San Pablo - Rumrill",-122.335865,37.969085,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-809","2020-03-03","2020-03-03 11:15:00","San Leandro",-122.323812,37.935882,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-810","2020-08-12","2020-08-12 14:00:00","San Pablo - Rumrill",-122.353068,37.970754,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-811","2020-08-13","2020-08-13 13:30:00","San Leandro",-122.349649,37.927343,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BE-645A","2019-12-09","2019-12-09 13:15:00","San Pablo - Rumrill",-122.326871,37.943383,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BE-803A","2020-03-19","2020-03-19 10:00:00","San Leandro",-122.3034,37.98596,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
