"ID","lat","long","proxy_site","start_date","end_date","O3.gain","O3.offset"
"AQY BB-647","37.946382","-122.326398","San Pablo - Rumrill","2019-12-16 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-648","37.907775","-122.307056","Berkeley Aquatic Park","2019-12-05 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-649","37.940881","-122.309832","San Pablo - Rumrill","2019-12-06 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-651","37.936658","-122.339732","San Pablo - Rumrill","2019-12-09 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-652","37.938642","-122.349205","San Pablo - Rumrill","2019-12-16 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-788","37.94755","-122.346511","San Pablo - Rumrill","2020-03-05 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-793","37.915453","-122.315955","San Pablo - Rumrill","2020-03-13 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-794","37.946713","-122.332639","San Pablo - Rumrill","2020-03-19 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-795","37.975904","-122.284784","San Pablo - Rumrill","2020-03-06 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-798","37.965249","-122.366437","San Pablo - Rumrill","2020-03-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-803","37.985959","-122.303358","San Pablo - Rumrill","2020-03-19 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-805","37.912533","-122.379561","San Pablo - Rumrill","2020-03-05 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-809","37.935882","-122.323812","San Pablo - Rumrill","2020-03-03 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-808","37.969085","-122.335865","San Pablo - Rumrill","2020-05-11 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-801","37.971666","-122.33952","San Pablo - Rumrill","2020-05-11 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-806","37.948007","-122.364858","San Pablo - Rumrill","2020-05-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-799","37.920952","-122.356242","San Pablo - Rumrill","2020-07-20 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-796","37.979566","-122.305837","San Pablo - Rumrill","2020-07-24 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-789","37.925232","-122.328835","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-811","37.927343","-122.349649","San Pablo - Rumrill","2020-08-13 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-790","37.927592","-122.358723","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-650","37.931852","-122.364117","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-787","37.962904","-122.33885","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-791","37.958849","-122.349434","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-810","37.970754","-122.353068","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-897","37.948007","-122.364858","San Pablo - Rumrill","2020-08-12 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-807","37.952281","-122.352474","San Pablo - Rumrill","2020-08-14 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-797","37.968896","-122.287926","San Pablo - Rumrill","2020-08-14 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-792","37.994871","-122.335447","San Pablo - Rumrill","2020-08-14 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-633","37.9604","-122.35685","San Pablo - Rumrill","2020-06-03 00:00:00","9999-12-31 23:59:59","1","0"
"AQY BB-642","37.9604","-122.35685","San Pablo - Rumrill","2020-06-03 00:00:00","9999-12-31 23:59:59","1","0"
